ts_code,name,l1_code,l1_name,l2_code,l2_name,l3_code,l3_name
002437.SZ,,,,,,,
002440.SZ,,,,,,,
002446.SZ,盛路通信,801740.SI,国防军工,801745.SI,军工电子Ⅱ,857451.SI,军工电子Ⅲ
002449.SZ,国星光电,801080.SI,电子,801084.SI,光学光电子,850832.SI,LED
002453.SZ,,,,,,,
002456.SZ,欧菲光,801080.SI,电子,801084.SI,光学光电子,850833.SI,光学元件
002458.SZ,益生股份,801010.SI,农林牧渔,801017.SI,养殖业,850173.SI,肉鸡养殖
002461.SZ,珠江啤酒,801120.SI,食品饮料,801126.SI,非白酒,851232.SI,啤酒
002463.SZ,沪电股份,801080.SI,电子,801083.SI,元件,850822.SI,印制电路板
002467.SZ,二六三,801770.SI,通信,801223.SI,通信服务,852214.SI,通信应用增值服务
002468.SZ,申通快递,801170.SI,交通运输,801178.SI,物流,851784.SI,快递
002472.SZ,双环传动,801880.SI,汽车,801093.SI,汽车零部件,850923.SI,底盘与发动机系统
002481.SZ,,,,,,,
002484.SZ,,,,,,,
002487.SZ,,,,,,,
002488.SZ,金固股份,801880.SI,汽车,801093.SI,汽车零部件,850924.SI,轮胎轮毂
002489.SZ,浙江永强,801140.SI,轻工制造,801142.SI,家居用品,851437.SI,成品家居
002497.SZ,,,,,,,
002498.SZ,汉缆股份,801730.SI,电力设备,801738.SI,电网设备,857344.SI,线缆部件及其他
002506.SZ,协鑫集成,801730.SI,电力设备,801735.SI,光伏设备,857352.SI,光伏电池组件
002507.SZ,,,,,,,
002511.SZ,中顺洁柔,801980.SI,美容护理,801981.SI,个护用品,859811.SI,生活用纸
