ts_code,name,l1_code,l1_name,l2_code,l2_name,l3_code,l3_name
002270.SZ,华明装备,801730.SI,电力设备,801738.SI,电网设备,857381.SI,输变电设备
002273.SZ,水晶光电,801080.SI,电子,801084.SI,光学光电子,850833.SI,光学元件
002276.SZ,万马股份,801730.SI,电力设备,801738.SI,电网设备,857344.SI,线缆部件及其他
002278.SZ,神开股份,801890.SI,机械设备,801074.SI,专用设备,850725.SI,能源及重型设备
002279.SZ,久其软件,801750.SI,计算机,801104.SI,软件开发,851042.SI,横向通用软件
002281.SZ,光迅科技,801770.SI,通信,801102.SI,通信设备,851024.SI,通信网络设备及器件
002282.SZ,博深股份,801890.SI,机械设备,801072.SI,通用设备,850713.SI,磨具磨料
002283.SZ,天润工业,801880.SI,汽车,801093.SI,汽车零部件,850923.SI,底盘与发动机系统
002284.SZ,亚太股份,801880.SI,汽车,801093.SI,汽车零部件,850923.SI,底盘与发动机系统
002296.SZ,辉煌科技,801770.SI,通信,801102.SI,通信设备,851024.SI,通信网络设备及器件
002297.SZ,博云新材,801740.SI,国防军工,801742.SI,航空装备Ⅱ,857421.SI,航空装备Ⅲ
002300.SZ,太阳电缆,801730.SI,电力设备,801738.SI,电网设备,857344.SI,线缆部件及其他
002313.SZ,日海智能,801770.SI,通信,801102.SI,通信设备,851026.SI,通信终端及配件
002328.SZ,新朋股份,801880.SI,汽车,801093.SI,汽车零部件,850925.SI,其他汽车零部件
002331.SZ,皖通科技,801750.SI,计算机,801103.SI,IT服务Ⅱ,852226.SI,IT服务Ⅲ
002334.SZ,英威腾,801890.SI,机械设备,801078.SI,自动化设备,850782.SI,工控设备
002335.SZ,科华数据,801730.SI,电力设备,801733.SI,其他电源设备Ⅱ,857336.SI,其他电源设备Ⅲ
002337.SZ,赛象科技,801890.SI,机械设备,801074.SI,专用设备,850727.SI,其他专用设备
002339.SZ,积成电子,801730.SI,电力设备,801738.SI,电网设备,857321.SI,电网自动化设备
002342.SZ,巨力索具,801890.SI,机械设备,801072.SI,通用设备,850751.SI,金属制品
002347.SZ,泰尔股份,801890.SI,机械设备,801072.SI,通用设备,850751.SI,金属制品
002350.SZ,北京科锐,801730.SI,电力设备,801738.SI,电网设备,857382.SI,配电设备
002351.SZ,漫步者,801080.SI,电子,801085.SI,消费电子,850853.SI,品牌消费电子
002353.SZ,杰瑞股份,801890.SI,机械设备,801074.SI,专用设备,850725.SI,能源及重型设备
002355.SZ,兴民智通,801880.SI,汽车,801093.SI,汽车零部件,850924.SI,轮胎轮毂
002358.SZ,森源电气,801730.SI,电力设备,801738.SI,电网设备,857381.SI,输变电设备
002362.SZ,汉王科技,801750.SI,计算机,801104.SI,软件开发,851041.SI,垂直应用软件
002363.SZ,隆基机械,801880.SI,汽车,801093.SI,汽车零部件,850923.SI,底盘与发动机系统
002364.SZ,中恒电气,801730.SI,电力设备,801733.SI,其他电源设备Ⅱ,857336.SI,其他电源设备Ⅲ
002369.SZ,卓翼科技,801080.SI,电子,801085.SI,消费电子,850854.SI,消费电子零部件及组装
002373.SZ,千方科技,801750.SI,计算机,801103.SI,IT服务Ⅱ,852226.SI,IT服务Ⅲ
002376.SZ,新北洋,801750.SI,计算机,801101.SI,计算机设备,850703.SI,其他计算机设备
002378.SZ,章源钨业,801050.SI,有色金属,801054.SI,小金属,850542.SI,钨
002380.SZ,科远智慧,801750.SI,计算机,801103.SI,IT服务Ⅱ,852226.SI,IT服务Ⅲ
002383.SZ,合众思壮,801740.SI,国防军工,801745.SI,军工电子Ⅱ,857451.SI,军工电子Ⅲ
002384.SZ,东山精密,801080.SI,电子,801083.SI,元件,850822.SI,印制电路板
002387.SZ,维信诺,801080.SI,电子,801084.SI,光学光电子,850831.SI,面板
002389.SZ,航天彩虹,801740.SI,国防军工,801742.SI,航空装备Ⅱ,857421.SI,航空装备Ⅲ
002396.SZ,星网锐捷,801770.SI,通信,801102.SI,通信设备,851024.SI,通信网络设备及器件
002401.SZ,中远海科,801750.SI,计算机,801103.SI,IT服务Ⅱ,852226.SI,IT服务Ⅲ
002405.SZ,四维图新,801750.SI,计算机,801104.SI,软件开发,851041.SI,垂直应用软件
002406.SZ,远东传动,801880.SI,汽车,801093.SI,汽车零部件,850923.SI,底盘与发动机系统
002409.SZ,雅克科技,801080.SI,电子,801081.SI,半导体,850813.SI,半导体材料
002410.SZ,广联达,801750.SI,计算机,801104.SI,软件开发,851041.SI,垂直应用软件
002415.SZ,海康威视,801750.SI,计算机,801101.SI,计算机设备,850702.SI,安防设备
002421.SZ,达实智能,801750.SI,计算机,801103.SI,IT服务Ⅱ,852226.SI,IT服务Ⅲ
002427.SZ,尤夫股份,801030.SI,基础化工,801032.SI,化学纤维,850341.SI,涤纶
002428.SZ,云南锗业,801050.SI,有色金属,801054.SI,小金属,850544.SI,其他小金属
002434.SZ,万里扬,801880.SI,汽车,801093.SI,汽车零部件,850923.SI,底盘与发动机系统
002436.SZ,兴森科技,801080.SI,电子,801083.SI,元件,850822.SI,印制电路板
002438.SZ,江苏神通,801890.SI,机械设备,801072.SI,通用设备,850751.SI,金属制品
002439.SZ,启明星辰,801750.SI,计算机,801104.SI,软件开发,851042.SI,横向通用软件
002441.SZ,众业达,801730.SI,电力设备,801738.SI,电网设备,857382.SI,配电设备
002446.SZ,盛路通信,801740.SI,国防军工,801745.SI,军工电子Ⅱ,857451.SI,军工电子Ⅲ
002448.SZ,中原内配,801880.SI,汽车,801093.SI,汽车零部件,850923.SI,底盘与发动机系统
002449.SZ,国星光电,801080.SI,电子,801084.SI,光学光电子,850832.SI,LED
002451.SZ,摩恩电气,801730.SI,电力设备,801738.SI,电网设备,857344.SI,线缆部件及其他
002452.SZ,长高电新,801730.SI,电力设备,801738.SI,电网设备,857381.SI,输变电设备
002454.SZ,松芝股份,801880.SI,汽车,801093.SI,汽车零部件,850926.SI,汽车电子电气系统
002456.SZ,欧菲光,801080.SI,电子,801084.SI,光学光电子,850833.SI,光学元件
002459.SZ,晶澳科技,801730.SI,电力设备,801735.SI,光伏设备,857352.SI,光伏电池组件
002460.SZ,赣锋锂业,801050.SI,有色金属,801056.SI,能源金属,850543.SI,锂
002463.SZ,沪电股份,801080.SI,电子,801083.SI,元件,850822.SI,印制电路板
002465.SZ,,,,,,,
002466.SZ,天齐锂业,801050.SI,有色金属,801056.SI,能源金属,850543.SI,锂
002471.SZ,中超控股,801730.SI,电力设备,801738.SI,电网设备,857344.SI,线缆部件及其他
002472.SZ,双环传动,801880.SI,汽车,801093.SI,汽车零部件,850923.SI,底盘与发动机系统
002474.SZ,榕基软件,801750.SI,计算机,801103.SI,IT服务Ⅱ,852226.SI,IT服务Ⅲ
002475.SZ,立讯精密,801080.SI,电子,801085.SI,消费电子,850854.SI,消费电子零部件及组装
002479.SZ,富春环保,801160.SI,公用事业,801161.SI,电力,851614.SI,热力服务
002483.SZ,润邦股份,801890.SI,机械设备,801074.SI,专用设备,850725.SI,能源及重型设备
002488.SZ,金固股份,801880.SI,汽车,801093.SI,汽车零部件,850924.SI,轮胎轮毂
002490.SZ,山东墨龙,801890.SI,机械设备,801074.SI,专用设备,850725.SI,能源及重型设备
002491.SZ,通鼎互联,801770.SI,通信,801102.SI,通信设备,851025.SI,通信线缆及配套
002498.SZ,汉缆股份,801730.SI,电力设备,801738.SI,电网设备,857344.SI,线缆部件及其他
002506.SZ,协鑫集成,801730.SI,电力设备,801735.SI,光伏设备,857352.SI,光伏电池组件
002510.SZ,天汽模,801880.SI,汽车,801093.SI,汽车零部件,850925.SI,其他汽车零部件
002516.SZ,旷达科技,801880.SI,汽车,801093.SI,汽车零部件,850922.SI,车身附件及饰件
002518.SZ,科士达,801730.SI,电力设备,801733.SI,其他电源设备Ⅱ,857336.SI,其他电源设备Ⅲ
002520.SZ,日发精机,801890.SI,机械设备,801072.SI,通用设备,850711.SI,机床工具
002523.SZ,天桥起重,801890.SI,机械设备,801074.SI,专用设备,850725.SI,能源及重型设备
002526.SZ,山东矿机,801890.SI,机械设备,801074.SI,专用设备,850725.SI,能源及重型设备
002531.SZ,天顺风能,801730.SI,电力设备,801736.SI,风电设备,857362.SI,风电零部件
002533.SZ,金杯电工,801730.SI,电力设备,801738.SI,电网设备,857344.SI,线缆部件及其他
002535.SZ,林州重机,801890.SI,机械设备,801074.SI,专用设备,850725.SI,能源及重型设备
002536.SZ,飞龙股份,801880.SI,汽车,801093.SI,汽车零部件,850923.SI,底盘与发动机系统
002546.SZ,新联电子,801730.SI,电力设备,801738.SI,电网设备,857323.SI,电工仪器仪表
002552.SZ,宝鼎科技,801890.SI,机械设备,801072.SI,通用设备,850751.SI,金属制品
002553.SZ,南方精工,801880.SI,汽车,801093.SI,汽车零部件,850923.SI,底盘与发动机系统
002559.SZ,亚威股份,801890.SI,机械设备,801072.SI,通用设备,850711.SI,机床工具
002560.SZ,通达股份,801730.SI,电力设备,801738.SI,电网设备,857344.SI,线缆部件及其他
002577.SZ,雷柏科技,801750.SI,计算机,801101.SI,计算机设备,850703.SI,其他计算机设备
002579.SZ,中京电子,801080.SI,电子,801083.SI,元件,850822.SI,印制电路板
002580.SZ,圣阳股份,801730.SI,电力设备,801737.SI,电池,857375.SI,蓄电池及其他电池
002583.SZ,海能达,801770.SI,通信,801102.SI,通信设备,851024.SI,通信网络设备及器件
002587.SZ,奥拓电子,801080.SI,电子,801084.SI,光学光电子,850832.SI,LED
002590.SZ,万安科技,801880.SI,汽车,801093.SI,汽车零部件,850923.SI,底盘与发动机系统
002594.SZ,比亚迪,801880.SI,汽车,801095.SI,乘用车,850951.SI,电动乘用车
002600.SZ,领益智造,801080.SI,电子,801085.SI,消费电子,850854.SI,消费电子零部件及组装
002606.SZ,大连电瓷,801730.SI,电力设备,801738.SI,电网设备,857344.SI,线缆部件及其他
002609.SZ,捷顺科技,801750.SI,计算机,801103.SI,IT服务Ⅱ,852226.SI,IT服务Ⅲ
002611.SZ,东方精工,801890.SI,机械设备,801074.SI,专用设备,850726.SI,印刷包装机械
002617.SZ,露笑科技,801160.SI,公用事业,801161.SI,电力,851616.SI,光伏发电
002625.SZ,光启技术,801740.SI,国防军工,801742.SI,航空装备Ⅱ,857421.SI,航空装备Ⅲ
002633.SZ,申科股份,801890.SI,机械设备,801072.SI,通用设备,850751.SI,金属制品
002639.SZ,雪人集团,801890.SI,机械设备,801072.SI,通用设备,850715.SI,制冷空调设备
002642.SZ,荣联科技,801750.SI,计算机,801103.SI,IT服务Ⅱ,852226.SI,IT服务Ⅲ
