ts_code,name,l1_code,l1_name,l2_code,l2_name,l3_code,l3_name
002421.SZ,达实智能,801750.SI,计算机,801103.SI,IT服务Ⅱ,852226.SI,IT服务Ⅲ
002428.SZ,云南锗业,801050.SI,有色金属,801054.SI,小金属,850544.SI,其他小金属
002434.SZ,万里扬,801880.SI,汽车,801093.SI,汽车零部件,850923.SI,底盘与发动机系统
002436.SZ,兴森科技,801080.SI,电子,801083.SI,元件,850822.SI,印制电路板
002439.SZ,启明星辰,801750.SI,计算机,801104.SI,软件开发,851042.SI,横向通用软件
002441.SZ,众业达,801730.SI,电力设备,801738.SI,电网设备,857382.SI,配电设备
002446.SZ,盛路通信,801740.SI,国防军工,801745.SI,军工电子Ⅱ,857451.SI,军工电子Ⅲ
002448.SZ,中原内配,801880.SI,汽车,801093.SI,汽车零部件,850923.SI,底盘与发动机系统
002449.SZ,国星光电,801080.SI,电子,801084.SI,光学光电子,850832.SI,LED
002451.SZ,摩恩电气,801730.SI,电力设备,801738.SI,电网设备,857344.SI,线缆部件及其他
002452.SZ,长高电新,801730.SI,电力设备,801738.SI,电网设备,857381.SI,输变电设备
002454.SZ,松芝股份,801880.SI,汽车,801093.SI,汽车零部件,850926.SI,汽车电子电气系统
002456.SZ,欧菲光,801080.SI,电子,801084.SI,光学光电子,850833.SI,光学元件
002459.SZ,晶澳科技,801730.SI,电力设备,801735.SI,光伏设备,857352.SI,光伏电池组件
002460.SZ,赣锋锂业,801050.SI,有色金属,801056.SI,能源金属,850543.SI,锂
002463.SZ,沪电股份,801080.SI,电子,801083.SI,元件,850822.SI,印制电路板
002466.SZ,天齐锂业,801050.SI,有色金属,801056.SI,能源金属,850543.SI,锂
002471.SZ,中超控股,801730.SI,电力设备,801738.SI,电网设备,857344.SI,线缆部件及其他
002472.SZ,双环传动,801880.SI,汽车,801093.SI,汽车零部件,850923.SI,底盘与发动机系统
002474.SZ,榕基软件,801750.SI,计算机,801103.SI,IT服务Ⅱ,852226.SI,IT服务Ⅲ
002475.SZ,立讯精密,801080.SI,电子,801085.SI,消费电子,850854.SI,消费电子零部件及组装
002488.SZ,金固股份,801880.SI,汽车,801093.SI,汽车零部件,850924.SI,轮胎轮毂
002491.SZ,通鼎互联,801770.SI,通信,801102.SI,通信设备,851025.SI,通信线缆及配套
002498.SZ,汉缆股份,801730.SI,电力设备,801738.SI,电网设备,857344.SI,线缆部件及其他
002506.SZ,协鑫集成,801730.SI,电力设备,801735.SI,光伏设备,857352.SI,光伏电池组件
002510.SZ,天汽模,801880.SI,汽车,801093.SI,汽车零部件,850925.SI,其他汽车零部件
002516.SZ,旷达科技,801880.SI,汽车,801093.SI,汽车零部件,850922.SI,车身附件及饰件
002518.SZ,科士达,801730.SI,电力设备,801733.SI,其他电源设备Ⅱ,857336.SI,其他电源设备Ⅲ
002531.SZ,天顺风能,801730.SI,电力设备,801736.SI,风电设备,857362.SI,风电零部件
002533.SZ,金杯电工,801730.SI,电力设备,801738.SI,电网设备,857344.SI,线缆部件及其他
002536.SZ,飞龙股份,801880.SI,汽车,801093.SI,汽车零部件,850923.SI,底盘与发动机系统
002546.SZ,新联电子,801730.SI,电力设备,801738.SI,电网设备,857323.SI,电工仪器仪表
002553.SZ,南方精工,801880.SI,汽车,801093.SI,汽车零部件,850923.SI,底盘与发动机系统
002560.SZ,通达股份,801730.SI,电力设备,801738.SI,电网设备,857344.SI,线缆部件及其他
002577.SZ,雷柏科技,801750.SI,计算机,801101.SI,计算机设备,850703.SI,其他计算机设备
002579.SZ,中京电子,801080.SI,电子,801083.SI,元件,850822.SI,印制电路板
002580.SZ,圣阳股份,801730.SI,电力设备,801737.SI,电池,857375.SI,蓄电池及其他电池
002583.SZ,海能达,801770.SI,通信,801102.SI,通信设备,851024.SI,通信网络设备及器件
002587.SZ,奥拓电子,801080.SI,电子,801084.SI,光学光电子,850832.SI,LED
002590.SZ,万安科技,801880.SI,汽车,801093.SI,汽车零部件,850923.SI,底盘与发动机系统
002594.SZ,比亚迪,801880.SI,汽车,801095.SI,乘用车,850951.SI,电动乘用车
002600.SZ,领益智造,801080.SI,电子,801085.SI,消费电子,850854.SI,消费电子零部件及组装
002606.SZ,大连电瓷,801730.SI,电力设备,801738.SI,电网设备,857344.SI,线缆部件及其他
002609.SZ,捷顺科技,801750.SI,计算机,801103.SI,IT服务Ⅱ,852226.SI,IT服务Ⅲ
002625.SZ,光启技术,801740.SI,国防军工,801742.SI,航空装备Ⅱ,857421.SI,航空装备Ⅲ
002642.SZ,荣联科技,801750.SI,计算机,801103.SI,IT服务Ⅱ,852226.SI,IT服务Ⅲ
002649.SZ,博彦科技,801750.SI,计算机,801103.SI,IT服务Ⅱ,852226.SI,IT服务Ⅲ
002654.SZ,万润科技,801080.SI,电子,801084.SI,光学光电子,850832.SI,LED
002655.SZ,共达电声,801080.SI,电子,801085.SI,消费电子,850854.SI,消费电子零部件及组装
002657.SZ,中科金财,801750.SI,计算机,801103.SI,IT服务Ⅱ,852226.SI,IT服务Ⅲ
002662.SZ,峰璟股份,801880.SI,汽车,801093.SI,汽车零部件,850922.SI,车身附件及饰件
002692.SZ,远程股份,801730.SI,电力设备,801738.SI,电网设备,857344.SI,线缆部件及其他
002703.SZ,浙江世宝,801880.SI,汽车,801093.SI,汽车零部件,850923.SI,底盘与发动机系统
002706.SZ,良信股份,801730.SI,电力设备,801738.SI,电网设备,857382.SI,配电设备
002708.SZ,光洋股份,801880.SI,汽车,801093.SI,汽车零部件,850923.SI,底盘与发动机系统
002715.SZ,登云股份,801880.SI,汽车,801093.SI,汽车零部件,850923.SI,底盘与发动机系统
002725.SZ,跃岭股份,801880.SI,汽车,801093.SI,汽车零部件,850924.SI,轮胎轮毂
002745.SZ,木林森,801080.SI,电子,801084.SI,光学光电子,850832.SI,LED
002756.SZ,永兴材料,801050.SI,有色金属,801056.SI,能源金属,850543.SI,锂
002759.SZ,天际股份,801730.SI,电力设备,801737.SI,电池,857372.SI,电池化学品
002792.SZ,通宇通讯,801770.SI,通信,801102.SI,通信设备,851024.SI,通信网络设备及器件
002796.SZ,世嘉科技,801770.SI,通信,801102.SI,通信设备,851024.SI,通信网络设备及器件
002813.SZ,路畅科技,801880.SI,汽车,801093.SI,汽车零部件,850926.SI,汽车电子电气系统
002815.SZ,崇达技术,801080.SI,电子,801083.SI,元件,850822.SI,印制电路板
