ts_code,name,l1_code,l1_name,l2_code,l2_name,l3_code,l3_name
600372.SH,中航机载,801740.SI,国防军工,801742.SI,航空装备Ⅱ,857421.SI,航空装备Ⅲ
600391.SH,航发科技,801740.SI,国防军工,801742.SI,航空装备Ⅱ,857421.SI,航空装备Ⅲ
600392.SH,盛和资源,801050.SI,有色金属,801054.SI,小金属,850541.SI,稀土
600405.SH,动力源,801730.SI,电力设备,801733.SI,其他电源设备Ⅱ,857336.SI,其他电源设备Ⅲ
600438.SH,通威股份,801730.SI,电力设备,801735.SI,光伏设备,857351.SI,硅料硅片
600456.SH,宝钛股份,801050.SI,有色金属,801054.SI,小金属,850544.SI,其他小金属
600487.SH,亨通光电,801770.SI,通信,801102.SI,通信设备,851025.SI,通信线缆及配套
600498.SH,烽火通信,801770.SI,通信,801102.SI,通信设备,851024.SI,通信网络设备及器件
600522.SH,中天科技,801770.SI,通信,801102.SI,通信设备,851025.SI,通信线缆及配套
600549.SH,厦门钨业,801050.SI,有色金属,801054.SI,小金属,850542.SI,钨
600552.SH,凯盛科技,801080.SI,电子,801084.SI,光学光电子,850831.SI,面板
600563.SH,法拉电子,801080.SI,电子,801083.SI,元件,850823.SI,被动元件
600601.SH,方正科技,801080.SI,电子,801083.SI,元件,850822.SI,印制电路板
600666.SH,奥瑞德,801080.SI,电子,801084.SI,光学光电子,850831.SI,面板
600703.SH,三安光电,801080.SI,电子,801084.SI,光学光电子,850832.SI,LED
600707.SH,彩虹股份,801080.SI,电子,801084.SI,光学光电子,850831.SI,面板
600760.SH,中航沈飞,801740.SI,国防军工,801742.SI,航空装备Ⅱ,857421.SI,航空装备Ⅲ
600765.SH,中航重机,801740.SI,国防军工,801742.SI,航空装备Ⅱ,857421.SI,航空装备Ⅲ
600776.SH,东方通信,801770.SI,通信,801102.SI,通信设备,851027.SI,其他通信设备
600847.SH,万里股份,801730.SI,电力设备,801737.SI,电池,857375.SI,蓄电池及其他电池
600862.SH,中航高科,801740.SI,国防军工,801742.SI,航空装备Ⅱ,857421.SI,航空装备Ⅲ
600875.SH,东方电气,801730.SI,电力设备,801733.SI,其他电源设备Ⅱ,857331.SI,综合电力设备商
600879.SH,航天电子,801740.SI,国防军工,801741.SI,航天装备Ⅱ,857411.SI,航天装备Ⅲ
601218.SH,吉鑫科技,801730.SI,电力设备,801736.SI,风电设备,857362.SI,风电零部件
601238.SH,广汽集团,801880.SI,汽车,801095.SI,乘用车,850952.SI,综合乘用车
601311.SH,骆驼股份,801730.SI,电力设备,801737.SI,电池,857375.SI,蓄电池及其他电池
601615.SH,明阳智能,801730.SI,电力设备,801736.SI,风电设备,857361.SI,风电整机
601633.SH,长城汽车,801880.SI,汽车,801095.SI,乘用车,850952.SI,综合乘用车
