column,null_pct,inf_count,std,abs_p99,max_abs,flag
gtja_170,0.2596,0,0.3674521709752095,0.9869985827000008,24.351810474046474,
gtja_171,0.0000,0,108013000.71495667,18026202.759464983,77525466023.28513,HUGE_TAIL
gtja_172,0.2456,0,20.278606397344657,88.36147077948782,100.00000000000034,
gtja_173,0.0000,0,982.2206892142523,789.8215888393424,105796.08824538588,HUGE_TAIL
gtja_174,0.2596,0,55.0466475190846,25.219386490450592,11319.208546303444,
gtja_175,0.0666,0,82.42793079227138,33.912316393333725,25148.40882666667,
gtja_176,0.2175,3,0.49719217214948636,0.9703581489467842,0.9999466353897714,INF_FEW
gtja_177,0.2596,0,33.93115047049413,95.0,95.0,
gtja_178,0.0131,0,787834930.0932915,9537650.566077674,1457629364577.358,HUGE_TAIL
gtja_179,1.1083,0,0.22364592719368762,0.8705988727777142,0.9996313667638724,
gtja_180,0.2561,0,24233738.336496145,96059628.1000002,1934510472.0,HUGE_TAIL
gtja_181,0.5484,0,401423.6971889829,191428.2595221683,809719933.449143,HUGE_TAIL
gtja_182,0.2596,0,0.12490944959540354,0.9,1.0,
gtja_183,1.3645,0,10097.967433171503,1704.1286542504456,5723166.547468885,HUGE_TAIL
gtja_184,5.3556,0,0.4082223176223552,1.8595930752822687,1.9983707493255607,
gtja_185,0.0000,0,0.28867014937752977,0.9858673563643081,0.9988778754441743,
gtja_186,0.3304,0,16.867444697345313,82.14028428143983,100.0,
gtja_187,0.2596,0,648.3889793119305,263.12959999999975,124431.89594000002,HUGE_TAIL
gtja_188,0.0000,0,39.002144319111785,128.85394960401229,440.3349508290925,HUGE_TAIL
gtja_189,0.1346,0,106.70413266928199,30.47827503999961,44402.40138611112,
gtja_190,0.5336,1026,1.1796188657209192,4.28991406050232,20.06390431617634,INF_HEAVY
gtja_191,0.3162,160,21.84245595143154,8.684432860409961,13797.294186057654,INF_HEAVY
mf_net_1d,4.6307,0,57651216.0,194361776.0,12075048960.0,HUGE_TAIL
mf_net_3d,4.6210,0,104119832.0,360733472.0,19152726016.0,HUGE_TAIL
mf_net_5d,4.6117,0,141620144.0,489172512.0,21605826560.0,HUGE_TAIL
mf_net_10d,4.5883,0,221035520.0,774106560.0,25232809984.0,HUGE_TAIL
mf_net_20d,4.5417,0,361604608.0,1305117568.0,32671692800.0,HUGE_TAIL
mf_net_60d,4.3550,0,841116224.0,3237393152.0,75986198528.0,HUGE_TAIL
mf_net_accel_5_20,4.6117,0,21791800.0,77015400.0,3461096448.0,HUGE_TAIL
mf_persist_10d,0.0000,0,1.923824607885975,8.0,10.0,
mf_net_1d_amount_ratio,4.6307,0,0.08015654981136322,0.2446201890707016,1.000966191291809,
mf_net_5d_amount_ratio,4.6117,0,0.04388706758618355,0.13946032524108887,1.0000046491622925,
mf_net_20d_amount_ratio,4.5417,0,0.026874251663684845,0.09179392457008362,1.0000014305114746,
mf_net_5d_cap_ratio,13.3521,0,0.013379398733377457,0.05376092344522476,0.681630551815033,
mf_net_20d_cap_ratio,13.2821,0,0.030577199533581734,0.13693390786647797,1.2249196767807007,
mf_buy_share_main,4.6307,0,0.11367033421993256,0.5354303121566772,1.0,
mfp_main_net_5d,13.3712,0,8.222760216328087e-11,3.4995365968330634e-10,4.372290871272756e-09,DEAD_VAR
mfp_main_net_20d,13.3712,0,1.994948224176735e-10,8.777570968726495e-10,1.2216512272890968e-08,DEAD_VAR
mfp_main_net_60d,13.3712,0,4.542380398119934e-10,1.9632231883195012e-09,8.496749990875382e-08,DEAD_VAR
mfp_main_net_180d,13.3712,0,9.048404047004946e-10,3.866074863083249e-09,1.8701164600314844e-07,DEAD_VAR
